time,input,output
17.03,330,14
17.04,330,14
17.05,330,14
17.06,330,14
17.07,330,14
17.09,331,14
17.10,330,14
17.11,330,14
17.12,330,13
17.13,331,13
17.14,331,13
17.15,331,13
17.16,331,13
17.17,331,13
17.18,331,13
17.20,331,13
17.21,331,13
17.22,333,12
17.23,333,12
17.24,333,12
17.25,333,12
17.26,333,12
17.27,333,12
17.28,333,12
17.29,333,12
17.30,333,12
17.32,333,12
17.33,333,10
17.34,333,10
17.35,333,10
17.36,333,10
17.37,333,10
17.38,333,10
17.39,333,10
17.40,333,10
17.42,331,10
17.43,333,9
17.44,331,9
17.45,330,9
17.46,330,9
17.47,330,9
17.48,330,9
17.49,330,9
17.50,330,9
17.51,330,9
17.52,330,8
17.54,330,8
17.55,330,8
17.56,330,8
17.57,330,8
17.58,330,8
17.59,330,8
17.60,330,8
17.61,330,8
17.62,330,7
17.64,330,7
17.65,330,7
17.66,330,7
17.67,330,7
17.68,330,7
17.69,330,7
17.70,330,7
17.71,330,7
17.72,330,6
17.74,330,6
17.75,330,6
17.76,330,6
17.77,330,6
17.78,330,6
17.79,330,6
17.80,330,6
17.81,330,6
17.82,330,4
17.83,330,4
17.84,330,4
17.86,330,4
17.87,330,4
17.88,330,4
17.89,330,4
17.90,330,4
17.91,330,4
17.92,330,4
17.93,330,4
17.94,330,4
17.95,330,4
17.97,330,4
17.98,330,4
17.99,330,4
18.00,330,4
18.01,330,4
18.02,330,2
18.03,330,2
18.04,330,2
18.05,330,2
18.06,330,2
18.08,330,2
18.09,331,2
18.10,331,2
18.11,331,2
18.12,331,2
18.13,333,2
18.14,334,2
18.15,339,2
18.16,345,2
18.17,348,2
18.19,350,2
18.20,351,2
18.21,356,2
18.22,360,0
18.23,362,0
18.24,362,0
18.25,362,0
18.26,362,0
18.27,364,0
18.28,364,0
18.30,364,0
18.31,364,0
18.32,362,0
18.33,364,0
18.34,364,0
18.35,364,0
18.36,364,0
18.37,364,0
18.38,367,0
18.39,364,0
18.40,364,0
18.42,364,0
18.43,365,0
18.44,365,0
18.45,365,0
18.46,365,0
18.47,365,0
18.48,365,0
18.49,365,0
18.50,365,0
18.51,365,0
18.52,365,0
18.54,365,0
18.55,365,0
18.56,365,0
18.57,365,0
18.58,365,0
18.59,365,0
18.60,365,0
18.61,365,0
18.62,362,0
18.63,365,0
18.65,367,0
18.66,365,0
18.67,365,0
18.68,367,0
18.69,367,0
18.70,367,0
18.71,367,0
18.72,367,0
18.73,368,0
18.74,368,0
18.75,368,0
18.77,368,0
18.78,368,0
18.79,368,0
18.80,370,0
18.81,368,0
18.82,368,6
18.83,370,6
18.84,370,6
18.85,370,6
18.86,370,6
